DEBUG: asyncio : 11/01/2024 12:38:19: Using proactor: IocpProactor
INFO: root : 11/01/2024 12:38:28: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:38:30: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:38:32: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:38:33: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:38:36: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:38:38: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:38:40: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:38:42: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:38:43: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:38:45: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:38:47: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:38:50: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:38:52: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:38:58: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:39:00: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:39:02: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:39:04: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:39:07: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:39:09: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:39:11: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:39:12: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:39:14: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:39:16: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:39:18: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:39:20: Rosto Localizado thiagocosme.jpg
WARNING: root : 11/01/2024 12:39:22: Unknown in local..
WARNING: root : 11/01/2024 12:39:24: Unknown in local..
WARNING: root : 11/01/2024 12:39:26: Unknown in local..
INFO: root : 11/01/2024 12:39:30: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:39:32: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:39:34: Rosto Localizado thiagocosme.jpg
WARNING: root : 11/01/2024 12:39:36: Unknown in local..
WARNING: root : 11/01/2024 12:39:38: Unknown in local..
WARNING: root : 11/01/2024 12:39:40: Unknown in local..
WARNING: root : 11/01/2024 12:39:42: Unknown in local..
WARNING: root : 11/01/2024 12:39:44: Unknown in local..
WARNING: root : 11/01/2024 12:39:47: Unknown in local..
WARNING: root : 11/01/2024 12:39:49: Unknown in local..
WARNING: root : 11/01/2024 12:39:51: Unknown in local..
WARNING: root : 11/01/2024 12:39:54: Unknown in local..
WARNING: root : 11/01/2024 12:39:56: Unknown in local..
WARNING: root : 11/01/2024 12:39:58: Unknown in local..
WARNING: root : 11/01/2024 12:40:00: Unknown in local..
WARNING: root : 11/01/2024 12:40:02: Unknown in local..
WARNING: root : 11/01/2024 12:40:04: Unknown in local..
WARNING: root : 11/01/2024 12:40:06: Unknown in local..
WARNING: root : 11/01/2024 12:40:08: Unknown in local..
INFO: root : 11/01/2024 12:40:13: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:40:15: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:40:18: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:40:20: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:40:21: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:40:25: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:40:27: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:40:30: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:40:31: Rosto Localizado thiagocosme.jpg
WARNING: root : 11/01/2024 12:40:34: Unknown in local..
WARNING: root : 11/01/2024 12:40:35: Unknown in local..
INFO: root : 11/01/2024 12:40:38: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:40:42: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:40:53: Rosto Localizado thiagocosme.jpg
WARNING: root : 11/01/2024 12:40:56: Unknown in local..
INFO: root : 11/01/2024 12:40:58: Rosto Localizado thiagocosme.jpg
WARNING: root : 11/01/2024 12:41:20: Unknown in local..
INFO: root : 11/01/2024 12:41:22: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:41:24: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:41:28: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:41:30: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:41:32: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:41:34: Rosto Localizado thiagocosme.jpg
INFO: root : 11/01/2024 12:41:36: Rosto Localizado thiagocosme.jpg
